time,Robot_ImpactVel_1,Robot_ImpactVel_2,Robot_ImpactVel_3,Robot_ImpactVel_4,Robot_ImpactVel_5,Robot_ImpactVel_6,Robot_ImpactVel_7,EE_ImpactVel_0,Robot_CRI_1,Robot_CRI_2,Robot_CRI_3,Robot_CRI_4,Robot_CRI_5,Robot_CRI_6,Robot_CRI_7,EE_CRI_0,Robot_modi_velocity_percentage1,Robot_modi_velocity_percentage2,Robot_modi_velocity_percentage3,Robot_modi_velocity_percentage4,Robot_modi_velocity_percentage5,Robot_modi_velocity_percentage6,Robot_modi_velocity_percentage7,EE_modi_velocity_percentage0,Robot_PFLFlag_1,Robot_PFLFlag_2,Robot_PFLFlag_3,Robot_PFLFlag_4,Robot_PFLFlag_5,Robot_PFLFlag_6,Robot_PFLFlag_7,EE_PFLFlag_0,max_ImpactVel,max_CRI,max_modi_velocity_percentage
0.000000,0.000000,117.597138,95.708705,21.978214,160.596894,157.936146,251.193227,251.247520,0.000000,0.448607,0.389438,0.183845,0.493707,0.532035,0.726182,0.667508,300.000000,261.001892,300.000000,300.000000,200.820099,246.660590,137.668311,163.497296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,251.247520,0.726182,137.668311,
0.100000,0.000000,145.988089,119.019805,27.272265,197.713666,194.605368,310.333522,310.193705,0.000000,0.495798,0.427177,0.203312,0.610767,0.586982,0.898277,0.809646,300.000000,210.227788,291.217529,300.000000,162.900842,201.182508,111.587054,132.496709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,310.333522,0.898277,111.587054,
0.200000,0.000000,166.276178,135.313373,31.733254,222.870466,219.308739,351.143846,350.648615,0.000000,0.531620,0.452663,0.219102,0.689178,0.622634,1.013510,0.891571,300.000000,184.556433,256.123294,300.000000,144.725293,178.938708,98.420059,117.157439,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,351.143846,1.013510,98.420059,
0.300000,0.000000,175.308452,143.369824,33.538463,231.831570,228.750806,367.556966,366.817095,0.000000,0.561759,0.465364,0.223301,0.717806,0.633797,1.057742,0.919997,300.000000,175.018264,241.428205,300.000000,138.894615,172.942589,94.117945,111.745990,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,367.556966,1.057742,94.117945,
0.400000,0.000000,169.008773,138.045042,33.462551,220.726937,217.637519,351.413781,350.698822,0.000000,0.541040,0.457010,0.219859,0.682636,0.617277,1.015155,0.890425,300.000000,181.522458,250.905709,300.000000,146.075743,182.289253,98.448107,117.504942,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,351.413781,1.015155,98.448107,
0.500000,0.000000,148.324509,121.769846,29.759158,191.168479,189.124682,306.386446,305.348052,0.000000,0.499789,0.431581,0.202770,0.591133,0.573053,0.886239,0.797167,300.000000,206.804624,284.216849,300.000000,168.418685,211.573975,112.849538,134.658433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,306.386446,0.886239,112.849538,
0.600000,0.000000,116.382819,95.382923,24.157573,148.626076,146.935494,239.005954,237.728768,0.000000,0.446705,0.389652,0.181120,0.456725,0.509628,0.690242,0.631768,300.000000,263.347470,300.000000,300.000000,216.559020,272.459564,144.369019,173.792681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,239.005954,0.690242,144.369019,
0.700000,0.000000,79.057372,64.970134,16.637380,100.167518,99.163179,161.643325,160.797496,0.000000,0.376978,0.325686,0.146743,0.361364,0.433570,0.572898,0.430200,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,213.292456,256.925513,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,161.643325,0.572898,213.292456,
0.800000,0.000000,40.881483,33.967365,8.416581,51.474376,51.228858,83.438425,83.126359,0.000000,0.256338,0.226412,0.092637,0.256024,0.301002,0.434523,0.217041,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,83.438425,0.434523,300.000000,
0.900000,0.000000,14.361460,11.894812,3.011650,18.053030,17.931157,29.256036,29.125673,0.000000,0.147210,0.134016,0.067889,0.152749,0.173639,0.240874,0.070882,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.256036,0.240874,300.000000,
