Unix_Time_Hour,Unix_Time_Min,Unix_Time_Sec,Elapse,Time,q_1,q_2,q_3,q_4,q_5,q_6,qd_1,qd_2,qd_3,qd_4,qd_5,qd_6,EffectiveMass_1,EffectiveMass_2,EffectiveMass_3,EffectiveMass_4,EffectiveMass_5,EffectiveMass_6,EffectiveMass_7,EffectiveMass_8,ImpactVelNorm_1,ImpactVelNorm_2,ImpactVelNorm_3,ImpactVelNorm_4,ImpactVelNorm_5,ImpactVelNorm_6,ImpactVelNorm_7,ImpactVelNorm_8,ImpactVelDirNorm_1,ImpactVelDirNorm_2,ImpactVelDirNorm_3,ImpactVelDirNorm_4,ImpactVelDirNorm_5,ImpactVelDirNorm_6,ImpactVelDirNorm_7,ImpactVelDirNorm_8,ImpactVelAlphaNorm_1,ImpactVelAlphaNorm_2,ImpactVelAlphaNorm_3,ImpactVelAlphaNorm_4,ImpactVelAlphaNorm_5,ImpactVelAlphaNorm_6,ImpactVelAlphaNorm_7,ImpactVelAlphaNorm_8,Force_1,Force_2,Force_3,Force_4,Force_5,Force_6,Force_7,Force_8,Pressure_1,Pressure_2,Pressure_3,Pressure_4,Pressure_5,Pressure_6,Pressure_7,Pressure_8,MaxCRI,CRI_1,CRI_2,CRI_3,CRI_4,CRI_5,CRI_6,CRI_7,CRI_8,MaxModiCRI,ModiCRI_1,ModiCRI_2,ModiCRI_3,ModiCRI_4,ModiCRI_5,ModiCRI_6,ModiCRI_7,ModiCRI_8,ImpactPosList_1,ImpactPosList_1,ImpactPosList_1,ImpactPosList_2,ImpactPosList_2,ImpactPosList_2,ImpactPosList_3,ImpactPosList_3,ImpactPosList_3,ImpactPosList_4,ImpactPosList_4,ImpactPosList_4,ImpactPosList_5,ImpactPosList_5,ImpactPosList_5,ImpactPosList_6,ImpactPosList_6,ImpactPosList_6,ImpactPosList_7,ImpactPosList_7,ImpactPosList_7,ImpactPosList_8,ImpactPosList_8,ImpactPosList_8,BoxInOutIndex_1,BoxInOutIndex_2,BoxInOutIndex_3,BoxInOutIndex_4,BoxInOutIndex_5,BoxInOutIndex_6,BoxInOutIndex_7,BoxInOutIndex_8,AssignBoxIndex_1,AssignBoxIndex_2,AssignBoxIndex_3,AssignBoxIndex_4,AssignBoxIndex_5,AssignBoxIndex_6,AssignBoxIndex_7,AssignBoxIndex_8,OverlappedBoxIndex_1,OverlappedBoxIndex_2,OverlappedBoxIndex_3,OverlappedBoxIndex_4,OverlappedBoxIndex_5,OverlappedBoxIndex_6,OverlappedBoxIndex_7,OverlappedBoxIndex_8,MinScale,Scale_1,Scale_2,Scale_3,Scale_4,Scale_5,Scale_6,Scale_7,Scale_8,MinModiScale,ModiScale_1,ModiScale_2,ModiScale_3,ModiScale_4,ModiScale_5,ModiScale_6,ModiScale_7,ModiScale_8,ColliAlpha_1,ColliAlpha_2,ColliAlpha_3,ColliAlpha_4,ColliAlpha_5,ColliAlpha_6,ColliAlpha_7,ColliAlpha_8,BasePosition_1,BasePosition_2,BasePosition_3,MotionDivisionIndex,
9,26,6,0.333600,0.000000,-4.635235,-1.563200,-1.038184,-1.977947,1.536424,0.093710,0.552099,0.051543,-0.031897,-0.053662,-0.068723,0.548122,250.000000,36.052982,23.856181,23.137073,18.184336,18.609314,8.143200,4.711298,0.000000,117.597138,95.708705,21.978214,160.596894,157.936146,251.193227,251.247520,0.000000,117.597138,95.708560,21.977584,160.501426,139.484398,251.192742,251.247517,0.000000,117.597138,95.708705,21.978214,160.596894,142.098383,251.193227,251.247520,0.000000,104.531549,76.569248,17.160221,138.237886,113.197135,203.330951,186.902140,0.000000,107.665777,93.465076,44.122849,104.065163,127.688339,168.035971,10.876198,0.466767,0.000000,0.299072,0.259625,0.122563,0.289070,0.354690,0.466767,0.373804,0.466767,0.000000,0.299072,0.259625,0.122563,0.289070,0.354690,0.466767,0.373804,-0.000000,0.000000,149.000000,212.366352,16.417445,149.000000,212.615205,13.198435,573.987736,0.248853,-3.219009,573.987736,-22.126507,286.215402,748.083443,150.158155,269.710700,744.103453,135.570988,445.025941,797.899649,140.680268,473.679933,587.402395,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.500000,0.100000,0.100000,0.100000,1.408667,0.451668,0.100000,0.100000,0.000000,0.000000,0.000000,0,
9,26,6,0.279200,0.100000,-4.579118,-1.558265,-1.041244,-1.983168,1.529846,0.146543,0.685390,0.063593,-0.038842,-0.067156,-0.085218,0.683157,250.000000,35.828655,23.816059,23.352262,18.322767,18.735250,8.172284,4.719719,0.000000,145.988089,119.019805,27.272265,197.713666,194.605368,310.333522,310.193705,0.000000,145.988089,119.019324,27.020418,197.595369,171.404290,310.333072,310.193689,0.000000,145.988089,119.019805,27.026877,197.713666,174.729924,310.333522,310.193705,0.000000,130.134299,95.490599,21.465263,171.014884,139.652133,251.517560,226.700908,0.000000,118.991549,102.522475,48.794974,116.150679,140.875799,180.641509,12.079244,0.503035,0.000000,0.330532,0.284785,0.135542,0.342030,0.391322,0.503035,0.453402,0.503035,0.000000,0.330532,0.284785,0.135542,0.342030,0.391322,0.503035,0.453402,-0.000000,0.000000,149.000000,211.111235,28.302765,149.000000,211.818911,23.024187,573.966629,0.707676,-5.278577,573.966629,-37.822752,282.121125,748.606451,135.118166,275.292441,744.725964,110.501542,449.665702,797.925941,115.474650,478.041875,587.387795,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.486702,3.000000,3.000000,3.000000,3.000000,2.891412,3.000000,2.486702,3.000000,2.486702,3.000000,3.000000,3.000000,3.000000,2.891412,3.000000,2.486702,3.000000,1.500000,0.100000,0.100000,0.134248,1.407798,0.455894,0.100000,0.100000,0.000000,0.000000,0.000000,0,
9,26,6,0.280600,0.200000,-4.510333,-1.551985,-1.045151,-1.989884,1.521334,0.214703,0.780639,0.073208,-0.044842,-0.076761,-0.097165,0.777182,250.000000,35.549705,23.769994,23.771094,18.472214,18.914233,8.210853,4.730621,0.000000,166.276178,135.313373,31.733254,222.870466,219.308739,351.143846,350.648615,0.000000,166.276178,135.312108,31.084784,222.739871,192.745019,351.143627,350.648594,0.000000,166.276178,135.313373,31.113562,222.870466,196.587267,351.143846,350.648615,0.000000,148.853503,108.815994,24.899395,192.969833,156.960593,283.782833,249.639842,0.000000,127.128174,108.639190,52.584488,124.570672,149.432205,187.984640,12.815271,0.567566,0.000000,0.353134,0.301776,0.146068,0.385940,0.415089,0.567566,0.499280,0.567566,0.000000,0.353134,0.301776,0.146068,0.385940,0.415089,0.567566,0.499280,-0.000000,0.000000,149.000000,208.666751,42.745609,149.000000,210.271071,34.913970,573.924807,1.604320,-7.831639,573.924807,-56.504791,275.833504,749.252123,116.499832,280.891039,745.500890,79.660425,453.335018,797.923997,84.627290,481.442340,587.349643,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.186618,3.000000,3.000000,3.000000,3.000000,2.564140,3.000000,2.186618,2.745815,2.186618,3.000000,3.000000,3.000000,3.000000,2.564140,3.000000,2.186618,2.745815,1.500000,0.100000,0.100000,0.197950,1.404558,0.459228,0.100000,0.100000,0.000000,0.000000,0.000000,0,
9,26,6,0.293400,0.300000,-4.430501,-1.544458,-1.049695,-1.997662,1.511482,0.294085,0.823044,0.075879,-0.046734,-0.080413,-0.101824,0.815468,250.000000,35.221178,23.720771,24.576598,18.752250,19.079453,8.258267,4.745921,0.000000,175.308452,143.369824,33.538463,231.831570,228.750806,367.556966,366.817095,0.000000,175.308452,143.367308,32.145528,231.707795,199.916560,367.556943,366.817057,0.000000,175.308452,143.369824,32.248579,231.831570,204.189029,367.556966,366.817095,0.000000,157.292639,115.436097,25.808220,200.985582,162.415496,296.167684,257.599083,0.000000,130.719044,111.687469,53.592146,126.506183,152.111232,190.869885,13.097791,0.592335,0.000000,0.363108,0.310243,0.148867,0.401971,0.422531,0.592335,0.515198,0.592335,0.000000,0.363108,0.310243,0.148867,0.401971,0.422531,0.592335,0.515198,-0.000000,0.000000,149.000000,204.593294,59.250182,149.000000,207.706676,48.499547,573.852599,3.113382,-10.750635,573.852599,-77.286498,266.873429,750.042804,94.768699,285.694644,746.434350,43.941224,454.810830,797.995317,48.943449,482.822814,587.409096,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.085937,3.000000,3.000000,3.000000,3.000000,2.467414,3.000000,2.085937,2.611988,2.085937,3.000000,3.000000,3.000000,3.000000,2.467414,3.000000,2.085937,2.611988,1.500000,0.100000,0.100000,0.278241,1.405562,0.467658,0.100000,0.100000,0.000000,0.000000,0.000000,0,
9,26,6,0.283300,0.400000,-4.349400,-1.536962,-1.054366,-2.005611,1.501516,0.374717,0.793468,0.074019,-0.044528,-0.076238,-0.097256,0.783782,250.000000,34.906520,23.679669,25.534619,18.916015,19.314288,8.313405,4.759191,0.000000,169.008773,138.045042,33.462551,220.726937,217.637519,351.413781,350.698822,0.000000,169.008773,138.040940,31.226963,220.601346,189.732272,351.413585,350.698220,0.000000,169.008773,138.045042,31.458012,220.726937,193.905244,351.413781,350.698822,0.000000,151.491178,111.091478,25.049299,191.138156,154.198293,284.243297,249.319048,0.000000,128.228976,109.682392,52.766105,125.764395,148.146503,188.203732,12.822610,0.568487,0.000000,0.356192,0.304673,0.146573,0.382276,0.411518,0.568487,0.498638,0.568487,0.000000,0.356192,0.304673,0.146573,0.382276,0.411518,0.568487,0.498638,-0.000000,0.000000,149.000000,199.120890,75.629830,149.000000,204.225732,62.189621,573.756756,5.104842,-13.440208,573.756756,-97.344361,256.291677,750.762747,72.627014,288.972546,747.306941,7.893572,453.556212,797.943375,12.974535,481.608080,587.364348,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.165777,3.000000,3.000000,3.000000,3.000000,2.592527,3.000000,2.165777,2.714877,2.165777,3.000000,3.000000,3.000000,3.000000,2.592527,3.000000,2.165777,2.714877,1.500000,0.100000,0.100000,0.347884,1.400496,0.471352,0.100000,0.100000,0.000000,0.000000,0.000000,0,
9,26,6,0.273700,0.500000,-4.273430,-1.529881,-1.058650,-2.012925,1.492094,0.450236,0.696359,0.063966,-0.039802,-0.067719,-0.085513,0.688984,250.000000,34.615820,23.645204,26.819405,19.235376,19.450095,8.359139,4.776432,0.000000,148.324509,121.769846,29.759158,191.168479,189.124682,306.386446,305.348052,0.000000,148.324509,121.764769,26.788550,191.079003,163.854319,306.385488,305.347831,0.000000,148.324509,121.769846,27.185734,191.168479,167.728311,306.386446,305.348052,0.000000,132.468741,97.792611,21.312626,165.517190,132.857127,248.146820,223.206762,0.000000,119.949306,103.579325,48.664786,116.377932,137.532671,180.007034,11.990797,0.500020,0.000000,0.333193,0.287720,0.135180,0.331034,0.382035,0.500020,0.446414,0.500020,0.000000,0.333193,0.287720,0.135180,0.331034,0.382035,0.500020,0.446414,-0.000000,0.000000,149.000000,192.806412,90.524513,149.000000,200.194573,74.788612,573.644318,7.388161,-15.735901,573.644318,-115.026724,244.993200,751.456526,51.980486,290.466398,748.135362,-25.410363,449.749911,797.951711,-20.254363,478.079054,587.411631,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.477836,3.000000,3.000000,3.000000,3.000000,2.979887,3.000000,2.477836,3.000000,2.477836,3.000000,3.000000,3.000000,3.000000,2.979887,3.000000,2.477836,3.000000,1.500000,0.100000,0.100000,0.418929,1.402620,0.480278,0.100000,0.100000,0.000000,0.000000,0.000000,0,
9,26,6,0.281800,0.600000,-4.215246,-1.524503,-1.061914,-2.018674,1.484909,0.508126,0.546398,0.050907,-0.031665,-0.054064,-0.068416,0.544528,250.000000,34.401049,23.624983,27.716487,19.366456,19.623386,8.399782,4.787875,0.000000,116.382819,95.382923,24.157573,148.626076,146.935494,239.005954,237.728768,0.000000,116.382819,95.377668,21.185139,148.556905,127.082540,239.004698,237.728547,0.000000,116.382819,95.382923,21.635678,148.626076,130.144405,239.005954,237.728768,0.000000,103.701541,76.364579,16.515283,127.883022,102.423763,193.267646,176.894928,0.000000,107.209284,93.516383,43.468728,103.659866,122.310827,164.791545,10.560267,0.457754,0.000000,0.297804,0.259768,0.120746,0.287944,0.339752,0.457754,0.353790,0.457754,0.000000,0.297804,0.259768,0.120746,0.287944,0.339752,0.457754,0.353790,-0.000000,0.000000,149.000000,187.216097,101.583133,149.000000,196.595972,84.296174,573.544673,9.379874,-17.286958,573.544673,-127.809766,235.551365,751.965621,36.276209,290.648743,748.752836,-50.521603,445.219723,797.907714,-45.312928,473.841921,587.408570,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.500000,0.100000,0.112906,0.461004,1.398694,0.482743,0.100000,0.100000,0.000000,0.000000,0.000000,0,
9,26,6,0.289600,0.700000,-4.168966,-1.520218,-1.064566,-2.023125,1.479218,0.554153,0.371161,0.034356,-0.021367,-0.036123,-0.046171,0.370031,250.000000,34.234297,23.609141,28.679523,19.533745,19.723072,8.433486,4.797763,0.000000,79.057372,64.970134,16.637380,100.167518,99.163179,161.643325,160.797496,0.000000,79.057372,64.965940,14.192676,100.122750,85.483329,161.642406,160.797413,0.000000,79.057372,64.970134,14.601450,100.167518,87.618669,161.643325,160.797496,0.000000,70.577658,51.356469,10.538385,85.847023,68.329289,130.089513,120.456020,0.000000,90.474780,78.164734,35.218340,86.727306,104.056859,137.495583,8.410548,0.381932,0.000000,0.251319,0.217124,0.097829,0.240909,0.289047,0.381932,0.240912,0.381932,0.000000,0.251319,0.217124,0.097829,0.240909,0.289047,0.381932,0.240912,-0.000000,0.000000,149.000000,182.316068,110.135604,149.000000,193.426070,91.744350,573.456511,11.110002,-18.391254,573.456511,-137.479119,227.579924,752.346708,23.886799,290.201820,749.218010,-70.186715,440.623142,797.858014,-64.963975,469.561086,587.402393,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.500000,0.100000,0.123059,0.499903,1.398538,0.487342,0.100000,0.100000,0.000000,0.000000,0.000000,0,
9,26,6,0.269400,0.800000,-4.139452,-1.517459,-1.066288,-2.026018,1.475568,0.583474,0.191932,0.016955,-0.010497,-0.018208,-0.023230,0.184995,250.000000,34.128800,23.594061,29.953590,19.783557,19.702655,8.453051,4.806162,0.000000,40.881483,33.967365,8.416581,51.474376,51.228858,83.438425,83.126359,0.000000,40.881483,33.965193,6.934719,51.453361,43.872963,83.437773,83.126275,0.000000,40.881483,33.967365,7.206080,51.474376,45.048272,83.438425,83.126359,0.000000,35.106457,25.826947,5.351918,43.197492,33.819919,66.534487,60.771543,0.000000,61.521068,54.338997,22.232939,61.445806,72.240532,104.285593,5.712029,0.289682,0.000000,0.170892,0.150942,0.061758,0.170683,0.200668,0.289682,0.121543,0.289682,0.000000,0.170892,0.150942,0.061758,0.170683,0.200668,0.289682,0.121543,-0.000000,0.000000,149.000000,178.986546,115.467816,149.000000,191.269259,96.428395,573.395612,12.282713,-19.039421,573.395612,-143.399675,222.283694,752.583777,16.051103,289.635414,749.510477,-82.561357,437.232508,797.810898,-77.330143,466.395982,587.386621,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.500000,0.100000,0.128378,0.542972,1.405267,0.496294,0.100000,0.100000,0.000000,0.000000,0.000000,0,
9,26,6,0.298100,0.900000,-4.126874,-1.516232,-1.067002,-2.027267,1.474000,0.596012,0.067425,0.006057,-0.003678,-0.006281,-0.008316,0.065317,250.000000,34.081271,23.592427,30.005737,19.743729,19.783466,8.468153,4.807242,0.000000,14.361460,11.894812,3.011650,18.053030,17.931157,29.256036,29.125673,0.000000,14.361460,11.893983,2.475661,18.044866,15.377314,29.255980,29.125659,0.000000,14.361460,11.894812,2.574427,18.053030,15.783290,29.256036,29.125673,0.000000,11.067937,8.257185,2.290068,14.144529,10.834518,22.249062,19.846929,0.000000,35.330491,32.163864,16.293407,36.659816,41.673291,57.809833,2.418778,0.160583,0.000000,0.098140,0.089344,0.045259,0.101833,0.115759,0.160583,0.039694,0.160583,0.000000,0.098140,0.089344,0.045259,0.101833,0.115759,0.160583,0.039694,-0.000000,0.000000,149.000000,177.520117,117.709848,149.000000,190.329238,98.392206,573.367476,12.809121,-19.317642,573.367477,-145.845207,219.951505,752.703278,12.747101,289.301481,749.651903,-87.772797,435.650658,797.817435,-82.545103,464.929388,587.409077,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.500000,0.100000,0.131766,0.545587,1.401251,0.494479,0.100000,0.100000,0.000000,0.000000,0.000000,0,
