time,Robot_ImpactVel_1,Robot_ImpactVel_2,Robot_ImpactVel_3,Robot_ImpactVel_4,Robot_ImpactVel_5,Robot_ImpactVel_6,Robot_ImpactVel_7,EE_ImpactVel_0,Robot_CRI_1,Robot_CRI_2,Robot_CRI_3,Robot_CRI_4,Robot_CRI_5,Robot_CRI_6,Robot_CRI_7,EE_CRI_0,Robot_modi_velocity_percentage1,Robot_modi_velocity_percentage2,Robot_modi_velocity_percentage3,Robot_modi_velocity_percentage4,Robot_modi_velocity_percentage5,Robot_modi_velocity_percentage6,Robot_modi_velocity_percentage7,EE_modi_velocity_percentage0,Robot_PFLFlag_1,Robot_PFLFlag_2,Robot_PFLFlag_3,Robot_PFLFlag_4,Robot_PFLFlag_5,Robot_PFLFlag_6,Robot_PFLFlag_7,EE_PFLFlag_0,max_ImpactVel,max_CRI,max_modi_velocity_percentage
0.000000,0.000000,117.597138,95.708705,21.978214,160.596894,157.936146,251.193227,251.247520,0.000000,0.299072,0.259625,0.122563,0.289070,0.354690,0.466767,0.373804,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,251.247520,0.466767,300.000000,
0.100000,0.000000,145.988089,119.019805,27.272265,197.713666,194.605368,310.333522,310.193705,0.000000,0.330532,0.284785,0.135542,0.342030,0.391322,0.503035,0.453402,300.000000,300.000000,300.000000,300.000000,289.141153,300.000000,248.670200,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,310.333522,0.503035,248.670200,
0.200000,0.000000,166.276178,135.313373,31.733254,222.870466,219.308739,351.143846,350.648615,0.000000,0.353134,0.301776,0.146068,0.385940,0.415089,0.567566,0.499280,300.000000,300.000000,300.000000,300.000000,256.413953,300.000000,218.661829,274.581515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,351.143846,0.567566,218.661829,
0.300000,0.000000,175.308452,143.369824,33.538463,231.831570,228.750806,367.556966,366.817095,0.000000,0.363108,0.310243,0.148867,0.401971,0.422531,0.592335,0.515198,300.000000,300.000000,300.000000,300.000000,246.741425,300.000000,208.593715,261.198771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,367.556966,0.592335,208.593715,
0.400000,0.000000,169.008773,138.045042,33.462551,220.726937,217.637519,351.413781,350.698822,0.000000,0.356192,0.304673,0.146573,0.382276,0.411518,0.568487,0.498638,300.000000,300.000000,300.000000,300.000000,259.252742,300.000000,216.577710,271.487685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,351.413781,0.568487,216.577710,
0.500000,0.000000,148.324509,121.769846,29.759158,191.168479,189.124682,306.386446,305.348052,0.000000,0.333193,0.287720,0.135180,0.331034,0.382035,0.500020,0.446414,300.000000,300.000000,300.000000,300.000000,297.988744,300.000000,247.783554,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,306.386446,0.500020,247.783554,
0.600000,0.000000,116.382819,95.382923,24.157573,148.626076,146.935494,239.005954,237.728768,0.000000,0.297804,0.259768,0.120746,0.287944,0.339752,0.457754,0.353790,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,239.005954,0.457754,300.000000,
0.700000,0.000000,79.057372,64.970134,16.637380,100.167518,99.163179,161.643325,160.797496,0.000000,0.251319,0.217124,0.097829,0.240909,0.289047,0.381932,0.240912,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,161.643325,0.381932,300.000000,
0.800000,0.000000,40.881483,33.967365,8.416581,51.474376,51.228858,83.438425,83.126359,0.000000,0.170892,0.150942,0.061758,0.170683,0.200668,0.289682,0.121543,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,83.438425,0.289682,300.000000,
0.900000,0.000000,14.361460,11.894812,3.011650,18.053030,17.931157,29.256036,29.125673,0.000000,0.098140,0.089344,0.045259,0.101833,0.115759,0.160583,0.039694,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.256036,0.160583,300.000000,
