time,Robot_ImpactVel_1,Robot_ImpactVel_2,Robot_ImpactVel_3,Robot_ImpactVel_4,Robot_ImpactVel_5,Robot_ImpactVel_6,Robot_ImpactVel_7,Robot_ImpactVel_8,Robot_ImpactVel_9,EE_ImpactVel_0,Robot_CRI_1,Robot_CRI_2,Robot_CRI_3,Robot_CRI_4,Robot_CRI_5,Robot_CRI_6,Robot_CRI_7,Robot_CRI_8,Robot_CRI_9,EE_CRI_0,Robot_modi_velocity_percentage1,Robot_modi_velocity_percentage2,Robot_modi_velocity_percentage3,Robot_modi_velocity_percentage4,Robot_modi_velocity_percentage5,Robot_modi_velocity_percentage6,Robot_modi_velocity_percentage7,Robot_modi_velocity_percentage8,Robot_modi_velocity_percentage9,EE_modi_velocity_percentage0,Robot_PFLFlag_1,Robot_PFLFlag_2,Robot_PFLFlag_3,Robot_PFLFlag_4,Robot_PFLFlag_5,Robot_PFLFlag_6,Robot_PFLFlag_7,Robot_PFLFlag_8,Robot_PFLFlag_9,EE_PFLFlag_0,max_ImpactVel,max_CRI,max_modi_velocity_percentage
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,
2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,
3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,
4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,
5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,
6.000000,0.000000,1.764765,1.873471,0.776059,5.236593,5.523463,6.542804,6.837842,6.744605,6.423488,0.000000,0.065103,0.069067,0.000991,0.033944,0.091861,0.113344,0.019248,0.132198,0.152511,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.837842,0.152511,300.000000,
7.000000,0.000000,3.667636,27.386538,24.769265,29.542001,31.536903,32.807091,33.253821,32.579690,31.761532,0.000000,0.077302,0.236167,0.076746,0.245252,0.093387,0.300811,0.081556,0.345503,0.421753,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.253821,0.421753,300.000000,
8.000000,0.000000,23.922139,61.734676,44.943697,91.185069,100.232130,109.637738,115.973164,115.723209,109.324591,0.000000,0.215481,0.422534,0.047871,0.531919,0.557528,0.489242,0.304202,0.760764,0.871358,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,194.521260,145.658265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.973164,0.871358,145.658265,
9.000000,0.000000,51.534314,126.492536,89.384237,204.569971,220.625447,243.809390,259.128882,257.908734,242.363442,0.000000,0.336206,0.528667,0.164188,0.742650,0.807914,0.701658,0.686423,1.055770,1.206508,300.000000,300.000000,243.163807,300.000000,179.536131,163.357237,149.842531,145.317036,86.981178,65.422493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,2.000000,259.128882,1.206508,65.422493,
10.000000,0.000000,17.420723,37.560308,25.139962,67.829755,72.074721,81.280604,86.266698,85.226155,80.039272,0.000000,0.184470,0.281387,0.059668,0.430804,0.501468,0.439447,0.228619,0.676615,0.776660,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,263.594231,200.135043,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,86.266698,0.776660,200.135043,
11.000000,0.000000,1.131720,0.827489,0.278537,5.088779,5.110691,4.673852,19.965027,20.245726,5.180731,0.000000,0.051866,0.041777,0.000000,0.023663,0.085895,0.099369,0.056024,0.297721,0.140087,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.245726,0.297721,300.000000,
12.000000,0.000000,2.612064,1.814642,0.678914,11.269113,11.324194,10.677241,41.190909,43.068925,11.847708,0.000000,0.070665,0.071024,0.000000,0.064240,0.125637,0.167620,0.112829,0.420030,0.269227,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,43.068925,0.420030,300.000000,
13.000000,0.000000,2.568019,1.741037,0.695495,11.088969,11.148141,10.482226,42.383281,45.496460,11.914424,0.000000,0.070406,0.069772,0.000000,0.063480,0.124449,0.165971,0.116050,0.432056,0.271796,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.496460,0.432056,300.000000,
14.000000,0.000000,3.478024,2.377276,0.958699,15.458788,15.557666,14.489470,51.898955,57.225611,16.471560,0.000000,0.075279,0.075861,0.000006,0.072221,0.156406,0.208950,0.145883,0.491652,0.338558,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.225611,0.491652,300.000000,
15.000000,0.000000,2.416476,1.838176,0.647273,10.266644,10.381810,10.077977,29.908638,33.894641,11.387568,0.000000,0.069513,0.071362,0.000064,0.060095,0.120069,0.159973,0.076917,0.364668,0.258574,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.894641,0.364668,300.000000,
16.000000,0.000000,0.336679,14.378433,14.620083,145.054247,145.069352,139.450881,141.543431,142.553700,140.580591,0.000000,0.004952,0.172440,0.026616,0.150353,0.172880,0.083749,0.016042,0.109381,0.148574,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,145.069352,0.172880,300.000000,
17.000000,0.000000,0.155276,19.024111,19.134986,19.649676,19.558273,19.580386,19.664204,19.740065,19.666172,0.000000,0.000054,0.200104,0.033325,0.219253,0.196250,0.247433,0.053141,0.287312,0.362264,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.740065,0.362264,300.000000,
18.000000,0.000000,8.644667,33.879915,40.032653,217.872340,217.621696,226.030821,218.318765,217.501079,224.596149,0.000000,0.113114,0.265051,0.118601,0.287995,0.349488,0.264033,0.078207,0.203538,0.351846,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,226.030821,0.351846,300.000000,
