time,Robot_ImpactVel_1,Robot_ImpactVel_2,Robot_ImpactVel_3,Robot_ImpactVel_4,Robot_ImpactVel_5,Robot_ImpactVel_6,Robot_ImpactVel_7,Robot_ImpactVel_8,Robot_ImpactVel_9,EE_ImpactVel_0,Robot_CRI_1,Robot_CRI_2,Robot_CRI_3,Robot_CRI_4,Robot_CRI_5,Robot_CRI_6,Robot_CRI_7,Robot_CRI_8,Robot_CRI_9,EE_CRI_0,Robot_modi_velocity_percentage1,Robot_modi_velocity_percentage2,Robot_modi_velocity_percentage3,Robot_modi_velocity_percentage4,Robot_modi_velocity_percentage5,Robot_modi_velocity_percentage6,Robot_modi_velocity_percentage7,Robot_modi_velocity_percentage8,Robot_modi_velocity_percentage9,EE_modi_velocity_percentage0,Robot_PFLFlag_1,Robot_PFLFlag_2,Robot_PFLFlag_3,Robot_PFLFlag_4,Robot_PFLFlag_5,Robot_PFLFlag_6,Robot_PFLFlag_7,Robot_PFLFlag_8,Robot_PFLFlag_9,EE_PFLFlag_0,max_ImpactVel,max_CRI,max_modi_velocity_percentage
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,
2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,
3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,
4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,
5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.000000,
6.000000,0.000000,1.764765,1.873471,0.776059,5.236593,5.523463,6.542804,6.837842,6.744605,6.423488,0.000000,0.043402,0.046045,0.000555,0.022629,0.061241,0.075563,0.010779,0.088132,0.101674,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.837842,0.101674,300.000000,
7.000000,0.000000,3.667636,27.386538,24.769265,29.542001,31.536903,32.807091,33.253821,32.579690,31.761532,0.000000,0.051534,0.157445,0.042978,0.163502,0.062258,0.200541,0.045672,0.230335,0.281169,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.253821,0.281169,300.000000,
8.000000,0.000000,23.922139,61.734676,44.943697,91.185069,100.232130,109.637738,115.973164,115.723209,109.324591,0.000000,0.143654,0.281690,0.026808,0.354612,0.371686,0.326162,0.170353,0.507176,0.580905,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.973164,0.580905,300.000000,
9.000000,0.000000,51.534314,126.492536,89.384237,204.569971,220.625447,243.809390,259.128882,257.908734,242.363442,0.000000,0.224137,0.352445,0.091945,0.495100,0.538610,0.467772,0.384397,0.703847,0.804339,300.000000,300.000000,300.000000,300.000000,300.000000,291.599639,274.571758,292.816827,298.658885,169.317647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,259.128882,0.804339,169.317647,
10.000000,0.000000,17.420723,37.560308,25.139962,67.829755,72.074721,81.280604,86.266698,85.226155,80.039272,0.000000,0.122980,0.187592,0.033414,0.287203,0.334312,0.292965,0.128027,0.451076,0.517773,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,86.266698,0.517773,300.000000,
11.000000,0.000000,1.131720,0.827489,0.278537,5.088779,5.110691,4.673852,19.965027,20.245726,5.180731,0.000000,0.034577,0.027851,0.000000,0.015775,0.057264,0.066246,0.031374,0.198480,0.093391,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.245726,0.198480,300.000000,
12.000000,0.000000,2.612064,1.814642,0.678914,11.269113,11.324194,10.677241,41.190909,43.068925,11.847708,0.000000,0.047110,0.047349,0.000000,0.042826,0.083758,0.111747,0.063184,0.280020,0.179484,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,43.068925,0.280020,300.000000,
13.000000,0.000000,2.568019,1.741037,0.695495,11.088969,11.148141,10.482226,42.383281,45.496460,11.914424,0.000000,0.046937,0.046515,0.000000,0.042320,0.082966,0.110647,0.064988,0.288037,0.181198,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.496460,0.288037,300.000000,
14.000000,0.000000,3.478024,2.377276,0.958699,15.458788,15.557666,14.489470,51.898955,57.225611,16.471560,0.000000,0.050186,0.050574,0.000003,0.048147,0.104271,0.139300,0.081695,0.327768,0.225706,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.225611,0.327768,300.000000,
15.000000,0.000000,2.416476,1.838176,0.647273,10.266644,10.381810,10.077977,29.908638,33.894641,11.387568,0.000000,0.046342,0.047575,0.000036,0.040064,0.080046,0.106648,0.043074,0.243112,0.172383,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.894641,0.243112,300.000000,
16.000000,0.000000,0.336679,14.378433,14.620083,145.054247,145.069352,139.450881,141.543431,142.553700,140.580591,0.000000,0.003302,0.114960,0.014905,0.100236,0.115253,0.055833,0.008983,0.072921,0.099050,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,145.069352,0.115253,300.000000,
17.000000,0.000000,0.155276,19.024111,19.134986,19.649676,19.558273,19.580386,19.664204,19.740065,19.666172,0.000000,0.000036,0.133403,0.018662,0.146169,0.130833,0.164955,0.029759,0.191541,0.241509,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.740065,0.241509,300.000000,
18.000000,0.000000,8.644667,33.879915,40.032653,217.872340,217.621696,226.030821,218.318765,217.501079,224.596149,0.000000,0.075409,0.176701,0.066417,0.191997,0.232992,0.176022,0.043796,0.135692,0.234564,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,226.030821,0.234564,300.000000,
